#{"t_start": 1747184514.6882677, "env_id": "None"}
r,l,t
-9.573526,20,3.731046
-3.217165,20,3.731065
-5.5079613,20,3.731071
-9.859938,20,3.731084
-2.487271,20,3.73109
0.63837385,20,3.731095
-7.6531982,20,3.731104
-10.201948,20,3.731109
-4.9502974,20,3.731116
-1.0563326,20,3.731122
-4.2946167,20,3.731129
-9.764017,20,3.731136
-8.496401,20,3.731141
-6.8716435,20,3.731147
-9.404573,20,3.731158
-6.873099,20,3.731163
-3.5115633,20,3.731169
-4.074126,20,3.731175
-5.7705364,20,3.731184
-6.866502,20,3.731191
-5.069966,20,3.731197
-5.422596,20,3.731202
-5.750016,20,3.731208
-6.6974854,20,3.731213
-8.683647,20,3.73122
-10.017675,20,3.731225
-9.420405,20,3.731231
-8.30407,20,3.731237
-8.747084,20,3.731242
-6.881462,20,3.731247
-6.522283,20,3.731253
-6.4746246,20,3.731262
-6.8628182,20,3.731269
-6.1365542,20,3.731275
-7.255304,20,3.731282
-2.9069567,20,3.731289
-2.8326163,20,3.731302
-7.5463696,20,3.73131
-9.100399,20,3.731317
-11.08713,20,3.731324
-1.035022,20,3.731329
-5.742897,20,3.731335
-5.7699776,20,3.731344
-4.3814363,20,3.731351
-5.825466,20,3.731356
-3.28788,20,3.731362
-3.505929,20,3.731369
0.453557,20,3.731381
-4.289093,20,3.731389
-6.856859,20,3.731394
-5.073352,20,3.7314
-9.5128565,20,3.731405
-7.285837,20,3.731411
-6.1599054,20,3.731416
-6.5517244,20,3.731422
-7.9407,21,3.915073
-3.4242482,21,3.915153
-5.5421734,21,3.915167
1.3381205,21,3.915175
-6.381469,21,3.915182
-1.9516826,21,3.915195
-7.07416,21,3.9152
-3.7809389,21,3.915208
-6.2635565,21,3.915214
-5.0450945,21,3.91522
-8.70694,21,3.915226
-5.753177,21,3.915232
-10.870998,21,3.915239
-9.71645,21,3.915245
-3.8299613,21,3.915251
-3.678605,21,3.915258
-5.941113,21,3.915265
-6.776207,21,3.915271
-8.699368,21,3.915278
-2.2637944,21,3.915284
-3.0631065,21,3.915292
-8.566842,21,3.915299
-9.2569275,21,3.915305
-2.939948,21,3.915311
0.58768463,21,3.915323
-8.168646,21,3.91533
-3.048017,21,3.915337
-5.2769675,21,3.915342
-5.3708963,21,3.91535
-6.150073,21,3.915363
-8.308338,21,3.915375
-10.848655,21,3.915382
-9.316072,21,3.91539
-4.4697604,21,3.915397
