#{"t_start": 1747094223.8235068, "env_id": "None"}
r,l,t
1.1773121,250,37.024372
0.98086977,250,37.024377
0.7694637,250,37.024381
0.8775804,250,37.024386
0.8240962,250,37.02439
0.9520067,250,37.024396
0.67451924,250,37.024401
0.8184522,250,37.024406
1.1981121,250,37.024412
0.8079353,250,37.024416
1.0576426,250,37.024421
1.005192,250,37.024426
0.7489068,250,37.02443
0.98330814,250,37.024435
0.73818564,250,37.024439
1.20263,250,37.024444
1.0092245,250,37.02445
1.0596666,250,37.024455
0.90726334,250,37.024459
1.0707213,250,37.024464
0.8388096,250,37.024469
0.90217704,250,37.024473
0.8959924,250,37.024477
0.86287016,250,37.024482
0.98917574,250,37.024487
0.7409159,250,37.024491
1.0862806,250,37.024496
1.2323884,250,37.024501
0.8993561,250,37.024506
0.9923372,250,37.024511
0.7975473,250,37.024515
0.87466305,250,37.024519
0.8110379,250,37.024524
0.741209,250,37.024529
0.79110694,250,37.024534
0.88890374,250,37.024538
0.97642606,250,37.024543
0.8974059,250,37.024547
0.76327354,250,37.024552
1.0651941,250,37.024557
1.0402192,250,37.024564
1.0038924,250,37.024568
0.7960185,250,37.024573
1.0577625,250,37.024579
1.2267002,250,37.024584
1.2083304,250,37.024589
0.90077573,250,37.024593
0.9217904,250,37.024598
0.83217025,250,37.024603
0.9276633,250,37.024608
0.8987804,250,37.024612
0.98175615,250,37.024618
0.8831897,250,37.024622
1.0129179,250,37.024627
0.86722344,250,37.024632
1.075046,250,37.024636
0.93092006,250,37.024641
1.0352882,250,37.024645
1.2580391,250,37.02465
0.7498852,250,37.024654
0.8149242,250,37.024659
1.0040954,250,37.024663
1.0144755,250,37.024669
0.99326956,250,37.024674
0.86770886,250,37.024678
1.1708714,250,37.024683
0.9791111,250,37.024688
0.71064043,250,37.024692
0.91752785,250,37.024697
0.8525948,250,37.024701
1.1092799,250,37.024706
0.71569675,250,37.02471
0.80594003,250,37.024716
0.8568698,250,37.024721
0.8788072,250,37.024727
0.7383672,250,37.024731
1.0556965,250,37.024736
0.7743949,250,37.02474
0.96629786,250,37.024745
1.2172321,250,37.02475
0.9622624,250,37.024754
0.9060134,250,37.024759
1.2296503,250,37.024764
0.91487277,250,37.024768
0.81124973,250,37.024772
1.1277317,250,37.024777
1.1802187,250,37.024784
1.4049897,250,37.024788
0.9106787,250,37.024793
0.8871549,250,37.024797
1.054283,250,37.024802
0.9967129,250,37.024807
0.86590374,250,37.024811
0.807747,250,37.024816
0.85886854,250,37.024821
1.0438778,250,37.024826
0.6612716,250,37.02483
0.9992184,250,37.024836
0.92588836,250,37.024841
0.9899415,250,37.024847
0.9012909,250,37.024852
0.875496,250,37.024857
1.1147699,250,37.024865
0.9026064,250,37.024869
0.87797934,250,37.024876
1.0197597,250,37.02488
0.83557,250,37.024885
0.9659763,250,37.024889
0.74599063,250,37.024895
0.7044871,250,37.0249
0.79909617,250,37.024905
0.7886529,250,37.024909
0.9808365,250,37.024914
0.95893735,250,37.024918
0.7473665,250,37.024923
0.8913892,250,37.024927
1.0908313,250,37.024932
0.8585501,250,37.024937
0.6508963,250,37.024941
1.0517064,250,37.024945
0.96211535,250,37.024951
0.8745413,250,37.024956
0.7742479,250,37.024961
0.72282636,250,37.024966
1.1831832,250,37.02497
0.9513274,250,37.024975
0.9608397,250,37.02498
1.1004868,250,37.024984
0.8578395,250,37.02499
1.1212735,250,37.024995
0.99079174,250,37.025
0.64414394,250,37.025004
