#{"t_start": 1747074452.409167, "env_id": "None"}
r,l,t
0.7669144,250,39.154003
0.6350512,250,39.154007
0.664328,250,39.154013
0.7075149,250,39.154018
0.6536599,250,39.154023
0.6062028,250,39.154029
0.79738915,250,39.154034
0.68266666,250,39.154038
0.696461,250,39.154043
0.7241161,250,39.154048
0.6159079,250,39.154053
0.6438985,250,39.154058
0.6472973,250,39.154062
0.7280751,250,39.154068
0.7494031,250,39.154073
0.62218744,250,39.154078
0.67025924,250,39.154083
0.7875046,250,39.154088
0.7051416,250,39.154093
0.7531871,250,39.154098
0.72853076,250,39.154102
0.6612634,250,39.154107
0.7451349,250,39.154112
0.6808751,250,39.154116
0.6478438,250,39.154123
0.62524086,250,39.154129
0.68504435,250,39.154134
0.63847065,250,39.154138
0.6444692,250,39.154143
0.6736172,250,39.154148
0.6874565,250,39.154152
0.8170521,250,39.154157
0.7562421,250,39.154161
0.67193824,250,39.154166
0.6945194,250,39.154171
0.65470874,250,39.154175
0.6539379,250,39.15418
0.68792367,250,39.154187
0.7191458,250,39.154191
0.6696345,250,39.154196
0.72669595,250,39.154201
0.6684186,250,39.154206
0.63040346,250,39.15421
0.68118274,250,39.154215
0.6932706,250,39.15422
0.7673687,250,39.154225
0.6945959,250,39.154229
0.71035653,250,39.154234
0.6663088,250,39.15424
0.72326267,250,39.154245
0.6569917,250,39.154249
0.7954477,250,39.154254
0.7316273,250,39.154259
0.65731716,250,39.154263
0.61791444,250,39.154268
0.71937776,250,39.154273
0.6560684,250,39.154278
0.61587185,250,39.154282
0.6713314,250,39.154287
0.6513142,250,39.154294
0.6661949,250,39.154298
0.8062951,250,39.154303
0.6795835,250,39.154307
0.7333631,250,39.154312
0.6820722,250,39.154317
0.67820716,250,39.154322
0.79765135,250,39.154328
0.6835827,250,39.154332
0.7182949,250,39.154337
0.6971069,250,39.154343
0.73205066,250,39.154347
0.6654863,250,39.154353
0.67509574,250,39.154358
0.6280675,250,39.154363
0.8185236,250,39.154367
0.62848425,250,39.154372
0.82020587,250,39.154383
0.75007325,250,39.154388
0.6935451,250,39.154394
0.7287177,250,39.154398
0.74672234,250,39.154403
0.74063706,250,39.154408
